Active Ingredient,SMILES
CLINDAMYCIN HYDROCHLORIDE,[Cl-].CCC[C@@H]1C[C@H](N(C)C1)C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O.[H+]
HYDROCORTISONE CYPIONATE,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)COC(=O)CCC5CCCC5)[C@@]4(C)C[C@H](O)[C@H]23
NOVOBIOCIN SODIUM,[Na+].COC1C(OC(N)=O)C(O)C(Oc2ccc3C(=O)[C-](NC(=O)c4ccc(O)c(CC=C(C)C)c4)C(=O)Oc3c2C)OC1(C)C
OXIGLUTATIONE,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
GLUTATHIONE DISULFIDE,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
SPINOSAD,CCC1CCCC(OC2CCC(C(C)O2)N(C)C)C(C)C(=O)C3CC4C(CCC5CC(CC45)OC6CC(C)C(OC)C(OC)C6OC)C3CC(=O)O1
PREDNISOLONE TEBUTATE,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
CEFOTIAM HYDROCHLORIDE,[Cl-].[Cl-].CN(C)CCn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cc4csc(N)n4)C3=O)C(O)=O.[H+].[H+]
MIDOSTAURIN,CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9
HYDROCORTISONE PROBUTATE,CCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)C(=O)COC(=O)CC
MOXALACTAM DISODIUM,[Na+].[Na+].CO[C@]1(NC(=O)C(C([O-])=O)c2ccc(O)cc2)[C@H]3OCC(=C(N3C1=O)C([O-])=O)CSc4nnnn4C
CLINDAMYCIN PHOSPHATE,CCC[C@@H]1C[C@H](N(C)C1)C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O[P](O)(O)=O)[C@@H](O)[C@H]2O
BUDESONIDE,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
HYDROXYZINE PAMOATE,OCCOCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3.OC(=O)c4cc5ccccc5c(Cc6c(O)c(cc7ccccc67)C(O)=O)c4O
DARUNAVIR,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@H]3OCC[C@@H]23)[S](=O)(=O)c4ccc(N)cc4
MENADIOL SODIUM DIPHOSPHATE,O.O.O.O.O.O.[Na+].[Na+].[Na+].[Na+].Cc1cc(O[P]([O-])([O-])=O)c2ccccc2c1O[P]([O-])([O-])=O
LOPINAVIR,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](Cc2ccccc2)NC(=O)COc3c(C)cccc3C)Cc4ccccc4
LOVASTATIN,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
SILDENAFIL CITRATE,CCCc1nn(C)c2C(=O)N=C(Nc12)c3cc(ccc3OCC)[S](=O)(=O)N4CCN(C)CC4.OC(=O)CC(O)(CC(O)=O)C(O)=O
URSODIOL,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
PENTETATE CALCIUM TRISODIUM,[Na+].[Na+].[Na+].[Ca++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CCN(CC([O-])=O)CC([O-])=O
SIMVASTATIN,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
DEOXYCHOLIC ACID,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
DEXAMETHASONE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
PORFIMER SODIUM,[Na+].CCc1c(C)c2[nH]c1cc3[nH]c(cc4nc(cc5nc(c2)c(C)c5CCC(O)=O)c(CCC(O)=O)c4C)c(C(C)O)c3C
TERBUTALINE SULFATE,CC(C)(C)[NH2+]CC(O)c1cc(O)cc(O)c1.CC(C)(C)[NH2+]CC(O)c2cc(O)cc(O)c2.[O-][S]([O-])(=O)=O
DOXERCALCIFEROL,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)C[C@H](O)C3=C
CHENODIOL,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
PARICALCITOL,C[C@H](\C=C\[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3/C[C@@H](O)C[C@H](O)C3
ECAMSULE,CC1(C)C\2CCC1(C[S](O)(=O)=O)C(=O)C2=C\c3ccc(cc3)/C=C4/C5CCC(C[S](O)(=O)=O)(C4=O)C5(C)C
TIPRANAVIR,CCC[C@@]1(CCc2ccccc2)CC(=O)C(=C(O)O1)[C@H](CC)c3cccc(N[S](=O)(=O)c4ccc(cn4)C(F)(F)F)c3
ISOSULFAN BLUE,[Na+].CCN(CC)c1ccc(cc1)[C+](c2ccc(cc2)N(CC)CC)c3cc(ccc3[S]([O-])(=O)=O)[S]([O-])(=O)=O
METHYLPREDNISOLONE,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14
IDARUBICIN HYDROCHLORIDE,[Cl-].CC1OC(CC(N)C1O)O[C@H]2C[C@@](O)(Cc3c(O)c4C(=O)c5ccccc5C(=O)c4c(O)c23)C(C)=O.[H+]
BACAMPICILLIN HYDROCHLORIDE,[Cl-].CCOC(=O)OC(C)OC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O.[H+]
TRAVOPROST,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COc2cccc(c2)C(F)(F)F
ROMIDEPSIN,C/C=C/1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C
TRIAMCINOLONE,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO
FLUOROMETHOLONE,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)C=CC(=O)C=C14
BETAMETHASONE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
METOPROLOL TARTRATE,COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc2ccc(OCC(O)CNC(C)C)cc2.O[C@H]([C@@H](O)C(O)=O)C(O)=O
PENBUTOLOL SULFATE,CC(C)(C)NC[C@H](O)COc1ccccc1C2CCCC2.CC(C)(C)NC[C@H](O)COc3ccccc3C4CCCC4.O[S](O)(=O)=O
FOSINOPRIL SODIUM,[Na+].CCC(=O)OC(O[P](=O)(CCCCc1ccccc1)CC(=O)N2C[C@@H](C[C@H]2C([O-])=O)C3CCCCC3)C(C)C
CEFTAZIDIME,CC(C)(O/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]3ccccc3)/c4csc(N)n4)C(O)=O
CARBENICILLIN INDANYL SODIUM,[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccc4CCCc4c3)c5ccccc5)C(=O)N2[C@H]1C([O-])=O
CEVIMELINE HYDROCHLORIDE,O.[Cl-].[Cl-].C[C@@H]1O[C@@]2(CS1)CN3CCC2CC3.C[C@@H]4O[C@@]5(CS4)CN6CCC5CC6.[H+].[H+]
TRIMETREXATE GLUCURONATE,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC.O[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)C(O)=O
FLUPREDNISOLONE,C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23
DEMECARIUM BROMIDE,[Br-].[Br-].CN(CCCCCCCCCCN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C)C(=O)Oc2cccc(c2)[N+](C)(C)C
TICARCILLIN DISODIUM,[Na+].[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C([O-])=O)c3cscc3)C(=O)N2[C@H]1C([O-])=O
PENICILLIN G PROCAINE,O.CCN(CC)CCOC(=O)c1ccc(N)cc1.CC2(C)S[C@@H]3[C@H](NC(=O)Cc4ccccc4)C(=O)N3[C@H]2C(O)=O
LEVOLEUCOVORIN CALCIUM,[Ca++].NC1=NC(=O)C2=C(NC[C@H](CNc3ccc(cc3)C(=O)N[C@H](CCC([O-])=O)C([O-])=O)N2C=O)N1
RANITIDINE BISMUTH CITRATE,[Bi+3].CNC(/NCCSCc1oc(CN(C)C)cc1)=C\[N+]([O-])=O.OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
DORIPENEM,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(O)=O)S[C@@H]3CN[C@H](CN[S](N)(=O)=O)C3
SPIRONOLACTONE,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13
DESOXIMETASONE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO
FLUDROCORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C
MONTELUKAST SODIUM,[Na+].CC(C)(O)c1ccccc1CC[C@@H](SCC2(CC2)CC([O-])=O)c3cccc(\C=C\c4ccc5ccc(Cl)cc5n4)c3
MOEXIPRIL HYDROCHLORIDE,[Cl-].CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2Cc3cc(OC)c(OC)cc3C[C@H]2C(O)=O.[H+]
RIMEXOLONE,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
HYDROCORTISONE BUTYRATE,CCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)C(=O)CO
MEDROXYPROGESTERONE ACETATE,C[C@H]1C[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@]3(OC(C)=O)C(C)=O)[C@@]4(C)CCC(=O)C=C14
PREDNISOLONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
VARDENAFIL HYDROCHLORIDE,[Cl-].[Cl-].CCCc1nc(C)c2n1NC(=NC2=O)c3cc(ccc3OCC)[S](=O)(=O)N4CCN(CC)CC4.[H+].[H+]
APREPITANT,C[C@@H](O[C@@H]1OCCN(CC2=NC(=O)NN2)[C@@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F
MEDRYSONE,C[C@H]1C[C@H]2[C@@H]3CC[C@H](C(C)=O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)CCC(=O)C=C14
TENOFOVIR DISOPROXIL FUMARATE,CC(C)OC(=O)OCO[P](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc12)OCOC(=O)OC(C)C.OC(=O)\C=C\C(O)=O
CARPHENAZINE MALEATE,CCC(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(CCO)CC4)c2c1.OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O
PEMETREXED DISODIUM,[Na+].[Na+].NC1=NC(=O)c2c([nH]cc2CCc3ccc(cc3)C(=O)N[C@H](CCC([O-])=O)C([O-])=O)N1
ETHYNODIOL DIACETATE,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(C)=O)C#C)[C@@H]3CCC2=C1
LEUCOVORIN CALCIUM,[Ca++].NC1=NC(=O)C2=C(NCC(CNc3ccc(cc3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1
AZLOCILLIN SODIUM,[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c4ccccc4)C(=O)N2C1C([O-])=O
HYDROCORTISONE SODIUM PHOSPHATE,[Na+].[Na+].CC12CCC(=O)C=C1CCC3C4CC[C@](O)(C(=O)CO[P]([O-])([O-])=O)C4(C)CC(O)C23
THIOTHIXENE HYDROCHLORIDE,[H+].[H+].O.O.[Cl-].[Cl-].CN1CCN(CC\C=C/2c3ccccc3Sc4ccc(cc24)[S](=O)(=O)N(C)C)CC1
CARBENICILLIN DISODIUM,[Na+].[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)C(C([O-])=O)c3ccccc3)C(=O)N2[C@H]1C([O-])=O
CALCIPOTRIENE,C[C@H](\C=C\C(O)C1CC1)[C@H]2CC[C@H]3\C(CCC[C@]23C)=C\C=C4\C[C@@H](O)C[C@H](O)C4=C
HYDROCORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
DICLOXACILLIN SODIUM,O.[Na+].Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C([O-])=O)c4c(Cl)cccc4Cl
SORAFENIB TOSYLATE,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1.Cc4ccc(cc4)[S](O)(=O)=O
CLOCORTOLONE PIVALATE,C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(Cl)C(O)CC2(C)C1C(=O)COC(=O)C(C)(C)C
CROMOLYN SODIUM,[Na+].[Na+].OC(COc1cccc2OC(=CC(=O)c12)C([O-])=O)COc3cccc4OC(=CC(=O)c34)C([O-])=O
DILTIAZEM MALATE,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O.O[C@@H](CC(O)=O)C(O)=O
BUTORPHANOL TARTRATE,O[C@@H]([C@H](O)C(O)=O)C(O)=O.Oc1ccc2C[C@H]3N(CC[C@@]4(CCCC[C@@]34O)c2c1)CC5CCC5
SAXAGLIPTIN,N[C@H](C(=O)N1[C@@H](C[C@@H]2C[C@H]12)C#N)C34CC5CC(CC(O)(C5)C3)C4.OC(=O)C(F)(F)F
ERGOCALCIFEROL,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3/C[C@@H](O)CCC3=C
IODIPAMIDE SODIUM,[Na+].[Na+].[O-]C(=O)c1c(I)cc(I)c(NC(=O)CCCCC(=O)Nc2c(I)cc(I)c(C([O-])=O)c2I)c1I
OXYCODONE TEREPHTHALATE,COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O.OC(=O)c6ccc(cc6)C(O)=O
ACETOPHENAZINE MALEATE,CC(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(CCO)CC4)c2c1.OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O
IPODATE CALCIUM,[Ca++].CN(C)C=Nc1c(I)cc(I)c(CCC([O-])=O)c1I.CN(C)C=Nc2c(I)cc(I)c(CCC([O-])=O)c2I
PALIPERIDONE PALMITATE,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CCCN2C(=O)C(=C(C)N=C12)CCN3CCC(CC3)c4noc5cc(F)ccc45
CEFAMANDOLE NAFATE,[Na+].Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](OC=O)c4ccccc4)C3=O)C([O-])=O
MEPREDNISONE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO
NICARDIPINE HYDROCHLORIDE,[H+].[Cl-].COC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+]([O-])=O)C(=O)OCCN(C)Cc3ccccc3)C
TRIMETHAPHAN CAMSYLATE,CC1(C)C2CCC1(C[S](=O)(=O)O[S]34CCCC3C5C(C4)N(Cc6ccccc6)C(=O)N5Cc7ccccc7)C(=O)C2
IODAMIDE MEGLUMINE,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I
ARTESUNATE,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](O[C@@H]3OC4(C)CC[C@@H]1[C@@]23OO4)OC(=O)CCC(O)=O
CEFPODOXIME PROXETIL,COCC1=C(N2[C@H](SC1)[C@H](NC(=O)C(=N\OC)/c3csc(N)n3)C2=O)C(=O)OC(C)OC(=O)OC(C)C
CERIVASTATIN SODIUM,[Na+].COCc1c(nc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c1c2ccc(F)cc2)C(C)C
LACTULOSE,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
ARFORMOTEROL TARTRATE,COc1ccc(C[C@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1.O[C@@H]([C@H](O)C(O)=O)C(O)=O
SUNITINIB MALATE,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C.O[C@@H](CC(O)=O)C(O)=O
OMACETAXINE MEPESUCCINATE,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN5CCC[C@]25C=C1OC
METHYLERGONOVINE MALEATE,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34.OC(=O)\C=C/C(O)=O
TROVAFLOXACIN MESYLATE,C[S](O)(=O)=O.NC1[C@@H]2CN(C[C@H]12)c3nc4N(C=C(C(O)=O)C(=O)c4cc3F)c5ccc(F)cc5F
METHYSERGIDE MALEATE,CC[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34.OC(=O)\C=C/C(O)=O
GADOBUTROL,[Ga+3].OC[C@@H](O)[C@@H](CO)N1CCN(CCN(CCN(CC1)CC([O-])=O)CC([O-])=O)CC([O-])=O
CALCITRIOL,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)C[C@H](O)C3=C
AZTREONAM,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\c2csc([NH3+])n2)C(=O)N1[S]([O-])(=O)=O
DIATRIZOATE MEGLUMINE,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I
TRANYLCYPROMINE SULFATE,[NH3+][C@H]1C[C@@H]1c2ccccc2.[NH3+][C@@H]3C[C@H]3c4ccccc4.[O-][S]([O-])(=O)=O
PREDNISOLONE SODIUM PHOSPHATE,[Na+].[Na+].CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO[P]([O-])([O-])=O
METAPROTERENOL SULFATE,CC(C)[NH2+]CC(O)c1cc(C)ccc1C.CC(C)[NH2+]CC(O)c2cc(C)ccc2C.[O-][S]([O-])(=O)=O
SODIUM GLYCEROPHOSPHATE,[Na+].[Na+].[Na+].[Na+].OCCC(CCO)O[P]([O-])([O-])=O.OCC(O)CO[P]([O-])([O-])=O
PROPOXYPHENE NAPSYLATE,O.CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c2ccccc2.O[S](=O)(=O)c3ccc4ccccc4c3
CLOXACILLIN SODIUM,O.[Na+].Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C([O-])=O
ARGATROBAN,O.C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)C(CCCN=C(N)N)N[S](=O)(=O)c2cccc3CC(C)CNc23
CORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
MEROPENEM,O.O.O.C[C@H](O)C1C2[C@@H](C)C(=C(N2C1=O)C(O)=O)S[C@@H]3CN[C@@H](C3)C(=O)N(C)C
TRIMETHOPRIM SULFATE,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC.COc3cc(Cc4cnc(N)nc4N)cc(OC)c3OC.O[S](O)(=O)=O
NETUPITANT,CN1CCN(CC1)c2cc(c(cn2)N(C)C(=O)C(C)(C)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)c4ccccc4C
DINOPROST TROMETHAMINE,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O.NC(CO)(CO)CO
HYDROXYPROGESTERONE CAPROATE,CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
HYDROCORTISONE,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23
FENOPROFEN CALCIUM,O.O.[Ca++].CC(C([O-])=O)c1cccc(Oc2ccccc2)c1.CC(C([O-])=O)c3cccc(Oc4ccccc4)c3
MEGESTROL ACETATE,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O
TRILOSTANE,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(=C(C[C@]35C)C#N)O)[C@@H]1CC[C@@H]2O
ENALAPRIL MALEATE,CCOC(=O)[C@@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CCC[C@H]2C(O)=O.OC(=O)\C=C/C(O)=O
ELTROMBOPAG OLAMINE,CC1=C(N\N=C\2C=CC=C(C2=O)c3cccc(c3)C(O)=O)C(=O)N(N1)c4ccc(C)c(C)c4.NCCO.NCCO
GALLAMINE TRIETHIODIDE,[I-].[I-].[I-].CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
PREDNISOLONE,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
CEFOTAXIME SODIUM,[Na+].CO\N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)COC(C)=O)\c3csc(N)n3
CARBOPROST TROMETHAMINE,CCCCC[C@](C)(O)\C=C/C1[C@@H](O)C[C@@H](O)[C@H]1C\C=C\CCCC(O)=O.NC(CO)(CO)CO
AMPRENAVIR,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CCOC2)[S](=O)(=O)c3ccc(N)cc3
MIFEPRISTONE,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C
NANDROLONE PHENPROPIONATE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2OC(=O)CCc5ccccc5
SODIUM PICOSULFATE,[Na+].[Na+].[O-][S](=O)(=O)Oc1ccc(cc1)C(c2ccc(O[S]([O-])(=O)=O)cc2)c3ccccn3
FINASTERIDE,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
MARAVIROC,CC(C)c1nnc(C)n1C2C[C@H]3CC[C@@H](C2)N3CC[C@H](NC(=O)C4CCC(F)(F)CC4)c5ccccc5
DESONIDE,CC1(C)O[C@@H]2C[C@H]3C4CCC5=CC(=O)C=CC5(C)[C@H]4C(O)CC3(C)[C@@]2(O1)C(=O)CO
DRONEDARONE HYDROCHLORIDE,[H+].[Cl-].CCCCN(CCCC)CCCOc1ccc(cc1)C(=O)c2c(CCCC)oc3ccc(N[S](C)(=O)=O)cc23
THIETHYLPERAZINE MALEATE,CCSc1ccc2Sc3ccccc3N(CCCN4CCN(C)CC4)c2c1.OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O
LEVALLORPHAN TARTRATE,O[C@H]([C@@H](O)C(O)=O)C(O)=O.Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC=C)c2c1
QUINAPRIL HYDROCHLORIDE,[Cl-].CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2Cc3ccccc3C[C@H]2C(O)=O.[H+]
RIBOFLAVIN 5'-PHOSPHATE,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@@H](O)[C@@H](O)[C@@H](O)CO[P](O)(O)=O)c2cc1C
COLFOSCERIL PALMITATE,CCCCCCCCCCCCCCCC(=O)OCC(CO[P]([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC
NALBUPHINE HYDROCHLORIDE,[Cl-].O[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC6CCC6)c45.[H+]
LEVORPHANOL TARTRATE,O.O.CN1CC[C@]23CCCC[C@H]2[C@H]1Cc4ccc(O)cc34.O[C@H]([C@@H](O)C(O)=O)C(O)=O
TESTOSTERONE CYPIONATE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2OC(=O)CCC5CCCC5
IMATINIB MESYLATE,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3.C[S](O)(=O)=O
